Similarity;ChEMBL ID;Smiles
50,84745884;CHEMBL212109;Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1F
47,54098356;CHEMBL1702358;COc1cc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc(OC)c1OC
43,93939376;CHEMBL5012346;Cc1c(NC(=O)c2nn(-c3ccc(Cl)cc3)ccc2=O)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL4967835;Cc1c(NC(=O)N2CCCCC2)c(=O)n(-c2ccccc2)n1C
40,2777791;CHEMBL1556460;Cc1c(NC(=O)CSc2nc3cc(Cl)ccc3[nH]2)c(=O)n(-c2ccccc2)n1C
55,3571403;CHEMBL214216;CSc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
44,99999881;CHEMBL2137742;COc1ccccc1NC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
41,37931168;CHEMBL3210284;CC(=O)/C=C(\C)Nc1c(C)n(C)n(-c2ccccc2)c1=O
53,44827771;CHEMBL1721783;Cc1c(NC(=O)Nc2ccc([N+](=O)[O-])cc2)c(=O)n(-c2ccccc2)n1C
41,37931168;CHEMBL1411733;Cc1ccc(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
57,40740895;CHEMBL378707;Cc1c(NC(=O)Nc2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C
47,45762646;CHEMBL558304;Cc1cc(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1
45,16128898;CHEMBL1353906;Cc1c(NC(=O)c2cc(C(C)C)on2)c(=O)n(-c2ccccc2)n1C
40,84506929;CHEMBL1542377;Cc1c(NC(=O)C2CCCCN2S(=O)(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
46,55172527;CHEMBL1766272;O=C(Nc1ccc(Cl)cc1)Nc1nn(-c2ccccc2)c(=O)c2ccccc12
43,07692349;CHEMBL2003940;Cc1c(N/C=C(\C#N)C(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,2777791;CHEMBL1095049;Cc1c(N/C(Nc2ccccc2)=C(\C#N)C(=O)Nc2ccc3c(c2)C(=O)c2ccccc2C3=O)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL101125;CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c2ccccc2)c2ccc(Cl)cc21
40,0000006;CHEMBL103968;CC(C)CCN1C(=O)C(NC(=O)Nc2ccccc2)C(=O)N(c2ccccc2)c2cc(Cl)ccc21
47,61904776;CHEMBL211595;Cc1ccc(NC(=O)Nc2c(C(C)(C)C)n(C)n(-c3ccccc3)c2=O)cc1F
42,6666677;CHEMBL453385;Cc1c(NC(=O)CSc2nnc(NC(=S)Nc3ccc(Cl)cc3)s2)c(=O)n(-c2ccccc2)n1C
45,3125;CHEMBL1890914;Cc1c(NC(=O)C(C)Oc2cccc(Cl)c2)c(=O)n(-c2ccccc2)n1C
40,81632793;CHEMBL1299745;O=C(Nc1ccccc1)Nc1cc(Cl)cc(Cl)c1
45,76271176;CHEMBL1612630;Cc1cccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c1C
48,38709533;CHEMBL209102;Cc1c(NC(=O)Nc2ccc3c(c2)OCO3)c(=O)n(-c2ccccc2)n1C
44,61538494;CHEMBL1506578;Cc1c(NC(=O)COC(=O)Cc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
40,29850662;CHEMBL1709119;CC(=O)Nc1ccc(C(=O)OCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
41,42857194;CHEMBL1431116;Cc1c(NC(=O)c2cc(-c3cc(Cl)ccc3O)[nH]n2)c(=O)n(-c2ccccc2)n1C
43,28358173;CHEMBL1397628;Cc1c(NC(=O)c2cc(=O)c3cc(Cl)ccc3o2)c(=O)n(-c2ccccc2)n1C
41,17647111;CHEMBL1724708;Cc1c(NC(=O)C(C)Oc2ccc(Br)cc2Cl)c(=O)n(-c2ccccc2)n1C
41,66666567;CHEMBL592341;O=C(Nc1ccc(Cl)cc1)Nc1cc(Cl)cc(Cl)c1
40,38461447;CHEMBL1688033;Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1Cl
40,67796469;CHEMBL1448827;Cc1c(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c(=O)n(-c2ccccc2)n1C
41,50943458;CHEMBL1448153;O=C(Nc1ccc(Cl)cc1)Nc1ccccc1C(=O)O
41,79104567;CHEMBL1458677;Cc1c(NC(=O)CN2CCN(c3cccc(Cl)c3)CC2)c(=O)n(-c2ccccc2)n1C
42,85714328;CHEMBL1303473;Cc1c(NC(=O)c2cnc(Cl)c(Cl)c2)c(=O)n(-c2ccccc2)n1C
41,50943458;CHEMBL4070648;O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2ccccc2)c1
43,10344756;CHEMBL1556311;CC(=O)c1ccc(Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
40,98360538;CHEMBL2262306;Cc1nc2ccccc2c(=O)n1NC(=O)Nc1ccc(Cl)cc1
40,67796469;CHEMBL1337291;Cc1c(NC(=O)N(C)c2ccccc2)c(=O)n(-c2ccccc2)n1C
52,72727013;CHEMBL378062;Cc1c(NC(=O)Nc2ccccc2Cl)c(=O)n(-c2ccccc2)n1C
42,85714328;CHEMBL1323808;Cc1c(NC(=O)N(C)C)c(=O)n(-c2ccccc2)n1C
42,62295067;CHEMBL1276343;Cc1c(N2C(=O)C(Cl)=C(Nc3ccc(Cl)cc3)C2=O)c(=O)n(-c2ccccc2)n1C
42,30769277;CHEMBL224626;O=C(Nc1ccc(Cl)cc1)NC(c1ccccc1)c1ccccc1
47,99999893;CHEMBL4576337;CC(C)c1c(N)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL1898613;Cc1c(NC(=O)C(C)Oc2ccccc2F)c(=O)n(-c2ccccc2)n1C
41,07142985;CHEMBL3753342;O=C(Nc1ccc(Cl)cc1)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1
40,0000006;CHEMBL1528037;Cc1c(NC(=O)c2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C
40,2777791;CHEMBL8997;CC(C)Oc1cccc(-n2c(NNC(=O)Nc3ccc(Cl)cc3)nc3ccccc3c2=O)c1
44,26229596;CHEMBL1409215;Cc1c(NC(=O)Nc2ccccc2C(F)(F)F)c(=O)n(-c2ccccc2)n1C
